index,artist_name,track_name,danceability,energy,key,loudness,speechiness,accousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date
1,BLACKPINK,Kill This Love,0.738,0.861,2,-4.141,0.237,0.318,0.00182,0.325,0.58,131.98,189052,2019-04-05
2,BLACKPINK,Don't Know What To Do,0.628,0.64,6,-4.164,0.0491,0.0992,0,0.138,0.409,129.815,201081,2019-04-05
3,BLACKPINK,Kick It,0.765,0.787,1,-3.647,0.0445,0.0156,0,0.0736,0.381,124.949,191226,2019-04-05
4,BLACKPINK,Hope Not,0.556,0.423,4,-4.998,0.0274,0.441,0,0.0867,0.179,110.086,191030,2019-04-05
5,BLACKPINK,DDU-DU DDU-DU - Remix,0.68,0.906,11,-6.195,0.0734,0.0341,7.83e-05,0.077,0.68,145.05,201225,2019-04-05
6,BLACKPINK,DDU-DU DDU-DU,0.671,0.859,4,-3.922,0.0833,0.0313,0,0.267,0.39,139.931,209355,2018-06-15
7,BLACKPINK,Forever Young,0.592,0.961,4,-1.807,0.096,0.0423,0,0.0882,0.508,109.826,237077,2018-06-15
8,BLACKPINK,Really,0.696,0.881,1,-2.082,0.104,0.0235,0,0.277,0.947,142.019,197789,2018-06-15
9,BLACKPINK,See U Later,0.74,0.926,9,-3.965,0.112,0.0376,0,0.582,0.571,106.987,198867,2018-06-15
10,BLACKPINK,How You Like That,0.828,0.782,11,-4.014,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,181264,2020-06-26
11,BLACKPINK,Ice Cream (with Selena Gomez),0.79,0.701,9,-4.81,0.365,0.0317,8.06e-05,0.0311,0.91,159.972,177813,2020-10-02
12,BLACKPINK,Pretty Savage,0.701,0.556,9,-7.42,0.0414,0.00886,0.000122,0.106,0.333,152.045,201122,2020-10-02
13,BLACKPINK,Bet You Wanna (feat. Cardi B),0.653,0.662,7,-6.168,0.162,0.00465,0,0.0626,0.674,111.712,161168,2020-10-02
14,BLACKPINK,Lovesick Girls,0.654,0.707,6,-5.661,0.0664,0.00559,0,0.0873,0.448,127.97,194765,2020-10-02
15,BLACKPINK,Crazy Over You,0.804,0.633,4,-6.186,0.0612,0.0371,0.000119,0.102,0.67,115.002,163946,2020-10-02
16,BLACKPINK,Love To Hate Me,0.686,0.64,8,-5.491,0.159,0.0334,0,0.0801,0.597,162.225,171798,2020-10-02
17,BLACKPINK,You Never Know,0.477,0.435,5,-6.497,0.0523,0.237,0,0.12,0.322,144.144,231202,2020-10-02
18,BLACKPINK,Kiss and Make Up,0.678,0.729,8,-4.188,0.137,0.0658,0,0.303,0.643,99.895,189173,2018-10-19
19,BLACKPINK,STAY,0.628,0.433,1,-6.808,0.0383,0.569,7.71e-06,0.104,0.343,88.074,230400,2016-11-01
20,BLACKPINK,BOOMBAYAH,0.658,0.836,5,-3.282,0.0549,0.00264,1.02e-06,0.507,0.387,124.969,240849,2016-08-08
21,BLACKPINK,WHISTLE,0.822,0.712,11,-4.877,0.15,0.00682,0,0.0955,0.647,102.874,211696,2016-08-08
22,BLACKPINK,PLAYING WITH FIRE,0.707,0.758,4,-4.511,0.0917,0.0399,0,0.141,0.674,97.037,197355,2016-11-01
23,BLACKPINK,As If It's Your Last,0.786,0.853,8,-2.687,0.0816,0.0688,0,0.0759,0.45,125.034,213264,2017-06-22
24,BLACKPINK,Sour Candy (with BLACKPINK),0.752,0.87,9,-3.812,0.0623,0.0604,1.12e-05,0.489,0.784,120.006,157707,2020-05-29
