Date,Followers,Follower Difference
2016-11-26,118977,
2016-11-27,120688,1711
2016-11-28,122340,1652
2016-11-29,123601,1261
2016-11-30,124931,1330
2016-12-01,126157,1226
2016-12-02,127352,1195
2016-12-03,128459,1107
2016-12-04,129666,1207
2016-12-05,131169,1503
2016-12-06,132230,1061
2016-12-08,134316,2086
2016-12-09,135451,1135
2016-12-10,136468,1017
2016-12-11,137967,1499
2016-12-12,139214,1247
2016-12-13,140395,1181
2016-12-14,141800,1405
2016-12-15,142908,1108
2016-12-16,143934,1026
2016-12-17,145246,1312
2016-12-18,146469,1223
2016-12-19,147635,1166
2016-12-20,149083,1448
2016-12-21,150247,1164
2016-12-22,151290,1043
2016-12-23,152707,1417
2016-12-24,154035,1328
2016-12-25,155086,1051
2016-12-26,156578,1492
2016-12-27,158096,1518
2016-12-28,159460,1364
2016-12-29,161148,1688
2016-12-30,162571,1423
2016-12-31,163849,1278
2017-01-01,165030,1181
2017-01-02,166469,1439
2017-01-03,167803,1334
2017-01-04,168922,1119
2017-01-05,170281,1359
2017-01-06,171589,1308
2017-01-07,172776,1187
2017-01-08,174370,1594
2017-01-09,175649,1279
2017-01-10,176657,1008
2017-01-11,177880,1223
2017-01-12,179033,1153
2017-01-13,180067,1034
2017-01-14,181436,1369
2017-01-15,182920,1484
2017-01-16,184324,1404
2017-01-17,185550,1226
2017-01-18,186819,1269
2017-01-19,188125,1306
2017-01-21,190888,2763
2017-01-22,192476,1588
2017-01-23,194002,1526
2017-01-24,195277,1275
2017-01-25,196390,1113
2017-01-27,198865,2475
2017-01-28,200168,1303
2017-01-29,201589,1421
2017-01-30,202854,1265
2017-01-31,203971,1117
2017-02-01,205141,1170
2017-02-02,206328,1187
2017-02-03,207533,1205
2017-02-04,208782,1249
2017-02-05,210152,1370
2017-02-06,211560,1408
2017-02-07,212694,1134
2017-02-08,213735,1041
2017-02-09,214836,1101
2017-02-10,216036,1200
2017-02-11,217283,1247
2017-02-12,218896,1613
2017-02-13,223087,4191
2017-02-14,225071,1984
2017-02-15,226559,1488
2017-02-16,228020,1461
2017-02-17,229501,1481
2017-02-19,232537,3036
2017-02-20,234015,1478
2017-02-21,235603,1588
2017-02-22,236967,1364
2017-02-23,238302,1335
2017-02-24,239519,1217
2017-02-25,240920,1401
2017-02-26,242579,1659
2017-02-27,244073,1494
2017-02-28,245319,1246
2017-03-02,247900,2581
2017-03-03,249591,1691
2017-03-04,251207,1616
2017-03-05,252899,1692
2017-03-06,254438,1539
2017-03-07,256152,1714
2017-03-08,257512,1360
2017-03-09,258764,1252
2017-03-11,261271,2507
2017-03-13,264155,2884
2017-03-14,265624,1469
2017-03-15,266918,1294
2017-03-16,268138,1220
2017-03-17,269291,1153
2017-03-18,270516,1225
2017-03-19,272053,1537
2017-03-20,273520,1467
2017-03-21,274644,1124
2017-03-22,275794,1150
2017-03-23,276941,1147
2017-03-24,278097,1156
2017-03-26,280826,2729
2017-03-27,282152,1326
2017-03-28,283810,1658
2017-03-29,285260,1450
2017-03-30,286494,1234
2017-03-31,287652,1158
2017-04-01,288861,1209
2017-04-02,290226,1365
2017-04-03,291662,1436
2017-04-04,292899,1237
2017-04-05,294196,1297
2017-04-06,295506,1310
2017-04-07,297130,1624
2017-04-08,298745,1615
2017-04-09,300512,1767
2017-04-10,302027,1515
2017-04-11,303872,1845
2017-04-12,305390,1518
2017-04-13,306848,1458
2017-04-14,308455,1607
2017-04-15,310034,1579
2017-04-16,311616,1582
2017-04-17,313150,1534
2017-04-18,314554,1404
2017-04-19,315839,1285
2017-04-22,319900,4061
2017-04-23,321372,1472
2017-04-24,322846,1474
2017-04-26,325438,2592
2017-04-27,327718,2280
2017-04-28,329415,1697
2017-04-29,331142,1727
2017-04-30,332942,1800
2017-05-02,336276,3334
2017-05-03,337631,1355
2017-05-04,339052,1421
2017-05-05,340350,1298
2017-05-06,341799,1449
2017-05-07,343389,1590
2017-05-08,344939,1550
2017-05-09,346159,1220
2017-05-10,347376,1217
2017-05-11,348685,1309
2017-05-18,358557,9872
2017-05-19,358930,373
2017-05-20,360182,1252
2017-05-21,361558,1376
2017-05-22,362818,1260
2017-05-23,364117,1299
2017-05-24,365428,1311
2017-05-25,366604,1176
2017-05-26,367797,1193
2017-05-27,369133,1336
2017-05-28,370646,1513
2017-05-29,372071,1425
2017-06-01,377031,4960
2017-06-02,377535,504
2017-06-03,378911,1376
2017-06-04,380353,1442
2017-06-05,381705,1352
2017-06-06,382855,1150
2017-06-07,383990,1135
2017-06-08,385163,1173
2017-06-10,387866,2703
2017-06-11,389330,1464
2017-06-12,390808,1478
2017-06-13,392027,1219
2017-06-14,393261,1234
2017-06-15,394600,1339
2017-06-16,395989,1389
2017-06-17,397448,1459
2017-06-18,399057,1609
2017-06-19,400555,1498
2017-06-20,401971,1416
2017-06-21,403683,1712
2017-06-22,405544,1861
2017-06-23,413099,7555
2017-06-24,417726,4627
2017-06-25,421983,4257
2017-06-26,425473,3490
2017-06-27,428400,2927
2017-06-28,430947,2547
2017-06-30,435758,4811
2017-07-01,438111,2353
2017-07-02,440585,2474
2017-07-03,442994,2409
2017-07-04,445216,2222
2017-07-05,447535,2319
2017-07-06,449847,2312
2017-07-07,452003,2156
2017-07-08,454326,2323
2017-07-09,456905,2579
2017-07-10,459441,2536
2017-07-11,462117,2676
2017-07-12,464915,2798
2017-07-13,467586,2671
2017-07-14,470371,2785
2017-07-15,473011,2640
2017-07-16,475830,2819
2017-07-17,478486,2656
2017-07-18,480777,2291
2017-07-19,483940,3163
2017-07-20,486647,2707
2017-07-21,489133,2486
2017-07-23,494299,5166
2017-07-24,496625,2326
2017-07-25,498735,2110
2017-07-26,501009,2274
2017-07-27,503354,2345
2017-07-28,505876,2522
2017-07-29,508606,2730
2017-07-30,511300,2694
2017-07-31,513788,2488
2017-08-01,516041,2253
2017-08-02,518122,2081
2017-08-03,520275,2153
2017-08-04,522393,2118
2017-08-05,524822,2429
2017-08-06,527389,2567
2017-08-07,529820,2431
2017-08-08,531982,2162
2017-08-09,534338,2356
2017-08-10,536653,2315
2017-08-11,538860,2207
